Brew's Season 2,Gliscor,Heatran,Gholdengo,Meowscarada,Walking Wake,Sylveon,Absol-Mega,Tentacruel,Swellow,Haunter,
WorstAsset's Season 2,Annihilape,Reuniclus,Clodsire,Porygon2,Diancie-Mega,Rotom-Heat,Empoleon,Umbreon,Hydrapple,Maushold,
Headsharper's Season 2,Chi-Yu,Heracross-Mega,Starmie,Celesteela,Garchomp,Glimmet,Rotom-Mow,Clefable,Raikou,Budew,
Paldamar's Season 2,Tapu Koko,Charizard-Mega-X,Quaquaval,Iron Crown,Terapagos,Iron Jugulis,Gligar,Golisopod,Exeggutor-Alola,Sneasler,
Dakipper's Season 2,Palafin,Tornadus-Therian,Araquanid,Noivern,Zapdos,Swampert-Mega,Politoed,Barbaracle,Bronzong,Qwilfish,
omey's Season 3,Darkrai,Enamorus,Deoxys-Defense,Magneton,Beedrill-Mega,Landorus-Therian,Empoleon,Tyrantrum,Azumarill,Cinccino,
Baldspot/ Taco's Season 3,Archaludon,Kartana,Dragonite,Tapu Lele,Pelipper,Thundurus-Therian,Claydol,Espeon,Floatzel,Volcanion,
Athy's Season 3,Palafin,Rillaboom,Slowking-Galar,Dudunsparce,Roaring Moon,Swampert,Tinkaton,Tornadus,Pawniard,Heracross,
PivotVortex's Season 3,Garchomp,Primarina,Mew,Garganacl,Meowscarada,Iron Moth,Corviknight,Cyclizar,Comfey,Rotom,
anibunny's Season 3,Gouging Fire,Gliscor,Deoxys-Speed,Gengar,Greninja,Lopunny-Mega,Diancie,Escavalier,Cradily,Ditto,
Rifj's Season 3,Scizor-Mega,Ting-Lu,Pecharunt,Kyurem,Alomomola,Moltres,Urshifu-Rapid,Raikou,Arboliva,Alcremie,
big dumb idiot's Season 3,Sneasler,Scream Tail,Scizor,Porygon2,Zygarde,Alakazam-Mega,Indeedee,Mandibuzz,Druddigon,Leavanny,
Fimmy's Season 3,Iron Valiant,Mawile-Mega,Nidoqueen,Ogerpon-Cornerstone,Manaphy,Zeraora,Talonflame,Guzzlord,Mr. Rime,Zangoose,Volbeat
SimplyTony's Season 3,Melmetal,Dracovish,Cinderace,Noivern,Sylveon,Gastrodon,Spiritomb,Latias,Mimikyu,Bronzong,Trapinch
kwad's Season 3,Raging Bolt,Terapagos,Swampert-Mega,Tapu Bulu,Iron Jugulis,Chandelure,Metagross,Grafaiai,Shiftry,Quaquaval,Exeggutor-Alola
Charles's Season 3,Tornadus-Therian,Latios,Iron Treads,Rotom-Wash,Urshifu-Single,Diancie-Mega,Shaymin,Incineroar,Gogoat,Furfrou,
Sibwind's Season 3,Gholdengo,Zapdos,Azelf,Drapion,Great Tusk,Rotom-Heat,Iron Leaves,Samurott-Hisui,Sceptile-Mega,Mothim,
Wacecah's Season 3,Gholdengo,Tapu Fini,Skarmory,Tyranitar,Slowking-Galar,Lopunny-Mega,Regieleki,Flygon,Shaymin,Carracosta,Glaceon
Psydomia's Season 3,Garchomp,Meowscarada,Rotom-Wash,Terapagos,Annihilape,Iron Moth,Tinkaton,Deoxys-Defense,Glastrier,Sudowoodo,
Superpancho's Season 3,Palafin,Tornadus-Therian,Rotom-Mow,Cinderace,Cyclizar,Donphan,Beedrill-Mega,Bisharp,Wigglytuff,Cobalion,Lunatone
stargn's Season 3,Urshifu-Single,Mudsdale,Raikou,Pecharunt,Gardevoir-Mega,Ogerpon-Hearthflame,Celesteela,Alomomola,Dewpider,Tsareena,
Jstrickland1's Season 3,Zapdos,Rillaboom,Greninja,Kommo-o,Iron Crown,Heatran,Nidoqueen,Banette-Mega,Centiskorch,Avalugg-Hisui,Dedenne
Jfain513's Season 3,Dragapult,Venusaur-Mega,Volcarona,Melmetal,Great Tusk,Hatterene,Chansey,Shuckle,Omastar,Golisopod,
Tiago's Season 3,Iron Bundle,Weavile,Blacephalon,Buzzwole,Kartana,Empoleon,Forretress,Diancie,Nihilego,Claydol,Sableye
DMGoodBoy's Season 3,Diancie-Mega,Scizor,Volcanion,Noivern,Ogerpon-Wellspring,Galvantula,Vaporeon,Ting-Lu,Dhelmise,Articuno-Galar,
